date	author
15 July 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter14Prototypes\HudKelpForest.json
15 July 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter14Prototypes\HeadsUpDisplayPrototype.json
15 July 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter14Prototypes\HeadsUpDisplayExample.json
7 April 2002	David Roussel	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter14Prototypes\ArtDecoPrototypesExcerpt.json
7 April 2002	David Roussel	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter14Prototypes\ArtDecoExamplesExcerpt.json
18 February 2001	Michael Collins	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\TreeFishPlaque.json
18 February 2001	Michael Collins	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\StripedSurfPerchPlaque.json
1 May 1998	Ildeniz Duman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\StripedSurfPerch.json
1 June 1998	Tim McLean	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\SharkLucyLocale.json
1 June 1998	Tim McLean	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\SharkLucy.json
1 June 1998	Tim McLean	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\SharkLeftyLocale.json
1 June 1998	Tim McLean	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\SharkLefty.json
1 June 1998	Karl Tenney	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\SeaStarSimple.json
17 December 2001	Karl Tenney	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\SeaStarPrototype.json
25 November 2002	Charles Adams	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\SeaStarHighResolutionPrototype.json
19 December 2002	Charles Adams	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\SeaStarHighResolutionExample.json
1 June 1998	Karl Tenney	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\SeaStarGroup.json
25 September 1998	Stewart Liles	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\SardineX.json
25 September 1998	Stewart Liles	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\SardineWagging.json
25 September 1998	Stewart Liles	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\SardineShape.json
25 September 1998	Stewart Liles	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\SardineSchoolTriple.json
25 September 1998	Stewart Liles	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\SardineSchoolOriginal.json
25 September 1998	Stewart Liles	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\SardineSchoolMidterm.json
25 September 1998	Stewart Liles	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\SardineSchoolFinal.json
25 September 1998	Stewart Liles	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\SardineSchoolDouble.json
25 September 1998	Stewart Liles	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\SardineSchool.json
25 September 1998	Stewart Liles  Sean Hynes	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\Sardine.json
1 June 1998	Ildeniz Duman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\RubberLipGroup.json
9 June 1998	Ray McLain  Moss Landing Marine Labs (MLML)	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\RockFloor.json
8 June 1998	Todd Gagnon and Mark A. Boyd	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\PumpHouse.json
9 June 1998	Todd Gagnon	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\KelpTankWaterSurface.json
3 June 1998	Todd Gagnon and Mark A. Boyd	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\KelpTankExternalLights.json
17 May 1998	Todd Gagnon and Mark A. Boyd	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\KelpTankExternalLight.json
11 June 1998	Mark Boyd	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\KelpTank.json
1 May 1998	Ildeniz Duman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\KelpSurfPerch.json
18 March 1999	Joseph Cannon  Dan DeVos	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\KelpPrototype.json
1 June 1998	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\KelpForestNoNancy.json
1 June 1998	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\KelpForestMain.json
2 October 2001	Matthew Braun	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\KelpFlexibleStipe.json
25 September 1998	Joseph Cannon  Dan DeVos  Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\KelpExamplesNoBase.json
25 September 1998	Joseph Cannon  Dan DeVos	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\KelpBulb.json
1 June 1998	Unknown	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\KelpBass.json
1 June 1998	Todd Gagnon and Mark A. Boyd	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\IntroductionMessage.json
1 June 1998	Ildeniz Duman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\HalfMoonPrototype.json
1 June 1998	Ildeniz Duman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\HalfMoonGroup.json
1 June 1998	Ildeniz Duman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\Garibaldi.json
25 September 1998	Stewart Liles  Sean Hynes	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\FishSchool.json
1 June 1998	Ildeniz Duman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\FishPrototype.json
17 December 2001	Scott Tufts	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\FishModelComparison.json
1 June 1998	Ildeniz Duman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\FishExamples.json
25 September 1998	Stewart Liles  Sean Hynes	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\Fish.json
1 April 2002	Todd Gagnon and Mark A. Boyd	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\CopperRockFishPlacardViewer.json
1 May 1998	Ildeniz Duman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\CircleFishPrototype.json
1998	Ildeniz Duman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\CircleFishLodPrototype.json
1 May 1998	Ildeniz Duman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\CircleFishLodExample.json
1 May 1998	Ildeniz Duman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\CircleFishExample.json
20 September 2001	Matthew Braun	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\ChangingFog.json
1 May 1998	Ildeniz Duman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\BlueRockFish.json
1 May 1998	Ildeniz Duman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\KelpForestExhibit\BlackSurfPerch.json
22 May 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter13GeometryTrianglesQuadrilaterals\TriangleStripSetExample.json
22 May 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter13GeometryTrianglesQuadrilaterals\TriangleSetExample.json
22 May 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter13GeometryTrianglesQuadrilaterals\TriangleFanSetExample.json
22 May 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter13GeometryTrianglesQuadrilaterals\SummaryIndexedTriangleSets.json
31 August 2008	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter13GeometryTrianglesQuadrilaterals\QuadSetExample.json
22 May 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter13GeometryTrianglesQuadrilaterals\NormalExample.json
22 May 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter13GeometryTrianglesQuadrilaterals\NonplanarPolygons.json
1 January 2007	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter13GeometryTrianglesQuadrilaterals\MorphingTriangleSet.json
22 May 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter13GeometryTrianglesQuadrilaterals\IndexedTriangleStripSetExample.json
22 May 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter13GeometryTrianglesQuadrilaterals\IndexedTriangleSetExample.json
22 May 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter13GeometryTrianglesQuadrilaterals\IndexedTriangleFanSetExample.json
31 August 2008	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter13GeometryTrianglesQuadrilaterals\IndexedQuadSetExample.json
1 June 1998	Don Brutzman Revised: Leonard Daly for X3D Book	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter12EnvironmentSensorSound\VisibilitySensorKelpForestMain.json
15 November 2009	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter12EnvironmentSensorSound\SoundVisualization.json
19 July 2008	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter12EnvironmentSensorSound\SoundLoadSensorTest.json
10 November 2013	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter12EnvironmentSensorSound\SoundFileFormats.json
1 May 2006	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter12EnvironmentSensorSound\SoundAudioClip.json
15 July 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter12EnvironmentSensorSound\ProximitySensorSingle.json
15 July 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter12EnvironmentSensorSound\ProximitySensorOverlap.json
15 July 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter12EnvironmentSensorSound\ProximitySensorNoOverlap.json
15 July 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter12EnvironmentSensorSound\ProximitySensorMultiple.json
1 June 1998	Don Brutzman Revised: Leonard Daly for X3D Book	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter12EnvironmentSensorSound\ProximitySensorKelpForestMain.json
15 July 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter12EnvironmentSensorSound\ProximitySensorExample.json
1 June 1998	Don Brutzman Revised: Leonard Daly for X3D Book	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter12EnvironmentSensorSound\LoadSensorKelpForestMain_timeOut.json
1 June 1998	Don Brutzman Revised: Leonard Daly for X3D Book	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter12EnvironmentSensorSound\LoadSensorKelpForestMain.json
17 July 2008	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter12EnvironmentSensorSound\LoadSensorExample.json
1 June 1998	Don Brutzman Revised: Leonard Daly for X3D Book	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter12EnvironmentSensorSound\CollisionKelpForestMain.json
1 June 1998	Don Brutzman Revised: Leonard Daly for X3D Book	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter11LightingEnvironmentalEffects\TextureBackgroundKelpForestMain.json
20 April 2009	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter11LightingEnvironmentalEffects\TextureBackgroundExample.json
14 November 2009	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter11LightingEnvironmentalEffects\SpotLightVisualization.json
24 April 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter11LightingEnvironmentalEffects\SpotLightExample.json
24 April 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter11LightingEnvironmentalEffects\SpotLightColor.json
24 April 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter11LightingEnvironmentalEffects\PointLightExample.json
24 April 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter11LightingEnvironmentalEffects\PointLightColor.json
1 June 1998	Don Brutzman Revised: Leonard Daly for X3D Book	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter11LightingEnvironmentalEffects\FogKelpForestMain.json
24 April 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter11LightingEnvironmentalEffects\DirectionalLightExample.json
22 April 2009	Don Brutzman and MV4205 class	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter11LightingEnvironmentalEffects\BackgroundTimeOfDay.json
20 April 2009	Dale Tourtelotte  Don Brutzman and MV4205 class	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter11LightingEnvironmentalEffects\BackgroundSequencer.json
20 April 2009	Dale Tourtelotte  Don Brutzman and MV4205 class	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter11LightingEnvironmentalEffects\BackgroundSelector.json
1 June 1998	Don Brutzman Revised: Leonard Daly for X3D Book	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter11LightingEnvironmentalEffects\BackgroundKelpForestMain.json
20 April 2009	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter11LightingEnvironmentalEffects\BackgroundImagesOnly.json
20 April 2009	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter11LightingEnvironmentalEffects\BackgroundColorsOnly.json
17 April 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter10Geometry2D\TriangleSet2dExample.json
17 April 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter10Geometry2D\Summary2D.json
17 April 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter10Geometry2D\Rectangle2dExample.json
17 April 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter10Geometry2D\Polypoint2dExample.json
17 April 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter10Geometry2D\Polyline2dExample.json
17 April 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter10Geometry2D\Disk2dExample.json
17 April 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter10Geometry2D\Circle2dExample.json
17 April 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter10Geometry2D\ArcClose2dExample.json
17 April 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter10Geometry2D\Arc2dExample.json
30 April 2005	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter08UserInteractivity\UserInteractivitySensorNodes.json
8 June 1998	Todd Gagnon and Mark A. Boyd	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter08UserInteractivity\TouchSensorPumpHouse.json
7 June 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter08UserInteractivity\StringSensorExample.json
10 June 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter08UserInteractivity\SphereSensorLefty.json
8 June 1998	Todd Gagnon and Mark A. Boyd	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter08UserInteractivity\PlaneSensorPumpHouse.json
10 June 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter08UserInteractivity\KeySensorLefty.json
6 June 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter08UserInteractivity\Doors.json
8 June 1998	Todd Gagnon and Mark A. Boyd	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter08UserInteractivity\CylinderSensorPumpHouse.json
8 October 2007	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\TimeTriggerTest.json
8 June 1998	Todd Gagnon and Mark A. Boyd	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\TimeTriggerPumpHouse.json
16 February 2008	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\TestScriptInitialization.json
10 June 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\ScriptSimpleStateEvents.json
30 November 1997	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\ScriptNodeFieldControlEcmaScript.json
30 November 1997	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\ScriptNodeEventOutControlEcmaScript.json
8 June 1998	Todd Gagnon and Mark A. Boyd	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\ScriptEventsPumpHouse.json
8 June 1998	Todd Gagnon and Mark A. Boyd	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\ScriptEvents.json
10 June 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\ScriptControlEvents.json
10 June 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\ScriptComplexStateEvents.json
3 November 2013	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\newECMAscriptTest.json
6 April 2009	Jason Nelson and MV4205 class	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\MoodSelector.json
8 June 1998	Todd Gagnon and Mark A. Boyd	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\IntegerTriggerPumpHouse.json
1 March 2008	Don Brutzman and Leonard Daly	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\IntegerTriggerExample.json
2 January 2009	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\IntegerSequencerRoadSignSwitcher.json
8 June 1998	Todd Gagnon and Mark A. Boyd	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\IntegerSequencerPumpHouse.json
2 December 2012	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\ElevationGridSimpleWaveAnimation.json
21 August 2013	John Kelly	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\CircleLinesSphereLongitude.json
12 August 2013	Don Brutzman and Ben Cheng	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\CircleLinesSphereLatitude.json
14 November 2009	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\CircleLinesExample60.json
14 November 2009	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\CircleLinesExample.json
8 June 1998	Todd Gagnon and Mark A. Boyd	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\BooleanTriggerPumpHouse.json
8 June 1998	Todd Gagnon and Mark A. Boyd	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\BooleanTogglePumpHouse.json
9 October 2006	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\BooleanToggleExample.json
8 June 1998	Leonard Daly  Don Brutzman  Todd Gagnon and Mark A. Boyd	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\BooleanSequencerPumpHouse.json
6 September 2006	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\BooleanSequencerIntegerSequencer.json
8 June 1998	Todd Gagnon and Mark A. Boyd	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\BooleanFilterPumpHouse.json
8 September 2009	Don Brutzman and MV3204 class	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter09EventUtilitiesScripting\BackgroundColorArrayAnimation.json
26 February 2007	Leonard Daly and Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter06GeometryPointsLinesPolygons\X3dBookWebsiteLogo.json
20 October 2019	Tim McLean	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter06GeometryPointsLinesPolygons\PointSetExample.json
1 June 1998	Tim McLean	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter06GeometryPointsLinesPolygons\LineSetExample.json
2 September 2008	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter06GeometryPointsLinesPolygons\LineSetComparison.json
1 June 1998	Tim McLean	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter06GeometryPointsLinesPolygons\IndexedLineSetExample.json
8 June 1998	Todd Gagnon and Mark A. Boyd	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter06GeometryPointsLinesPolygons\IndexedFaceSetExample.json
3 September 2005	Don Brutzman	..\www.web3d.org\x3d\content\examples\X3dForWebAuthors\Chapter06GeometryPointsLinesPolygons\ExtrusionRoomWalls.json
